"description","name","id","created_at","updated_at","deleted_at"
"","FORMICA RUFA","285","2024-09-30 14:39:30.888847+00","2024-09-30 14:39:30.888847+00",NULL
"","FORMALINUM","286","2024-09-30 14:39:30.892429+00","2024-09-30 14:39:30.892429+00",NULL
"","FRAGARIA VESCA","287","2024-09-30 14:39:30.896131+00","2024-09-30 14:39:30.896131+00",NULL
"","FRANCISCEA","288","2024-09-30 14:39:30.900092+00","2024-09-30 14:39:30.900092+00",NULL
"","FRAXINUS AMERICANA","289","2024-09-30 14:39:30.903807+00","2024-09-30 14:39:30.903807+00",NULL
"","FUCUS VESICULOSUS","290","2024-09-30 14:39:30.907284+00","2024-09-30 14:39:30.907284+00",NULL
"","FUCHSINUM (FUCHSINA","291","2024-09-30 14:39:30.910862+00","2024-09-30 14:39:30.910862+00",NULL
"","FULIGO LIGNI","292","2024-09-30 14:39:30.914846+00","2024-09-30 14:39:30.914846+00",NULL
"","GALLICUM ACIDUM","293","2024-09-30 14:39:31.106671+00","2024-09-30 14:39:31.106671+00",NULL
"","GALANTHUS NIVALIS","294","2024-09-30 14:39:31.1094+00","2024-09-30 14:39:31.1094+00",NULL
"","GALIUM APARINE","295","2024-09-30 14:39:31.112113+00","2024-09-30 14:39:31.112113+00",NULL
"","GAMBOGIA (GAMBOGIA","296","2024-09-30 14:39:31.114825+00","2024-09-30 14:39:31.114825+00",NULL
"","GAULTHERIA","297","2024-09-30 14:39:31.11802+00","2024-09-30 14:39:31.11802+00",NULL
"","GELSEMIUM","298","2024-09-30 14:39:31.121198+00","2024-09-30 14:39:31.121198+00",NULL
"","GENTIANA LUTEA","299","2024-09-30 14:39:31.124866+00","2024-09-30 14:39:31.124866+00",NULL
"","GERANIUM MACULATUM","300","2024-09-30 14:39:31.128441+00","2024-09-30 14:39:31.128441+00",NULL
"","GETTYSBURG WATER","301","2024-09-30 14:39:31.131924+00","2024-09-30 14:39:31.131924+00",NULL
"","GINSENG","302","2024-09-30 14:39:31.135207+00","2024-09-30 14:39:31.135207+00",NULL
"","GLONOINUM","303","2024-09-30 14:39:31.138867+00","2024-09-30 14:39:31.138867+00",NULL
"","GLYCERINUM","304","2024-09-30 14:39:31.142394+00","2024-09-30 14:39:31.142394+00",NULL
"","GNAPHALIUM","305","2024-09-30 14:39:31.145884+00","2024-09-30 14:39:31.145884+00",NULL
"","GOSSYPIUM HERBACEUM","306","2024-09-30 14:39:31.149394+00","2024-09-30 14:39:31.149394+00",NULL
"","GRANATUM","307","2024-09-30 14:39:31.153117+00","2024-09-30 14:39:31.153117+00",NULL
"","GRAPHITES","308","2024-09-30 14:39:31.157437+00","2024-09-30 14:39:31.157437+00",NULL
"","GRATIOLA","309","2024-09-30 14:39:31.161096+00","2024-09-30 14:39:31.161096+00",NULL
"","GRINDELIA ROBUSTA","310","2024-09-30 14:39:31.164657+00","2024-09-30 14:39:31.164657+00",NULL
"","GUACO","311","2024-09-30 14:39:31.168251+00","2024-09-30 14:39:31.168251+00",NULL
"","GUAJACUM OFFICINALE","312","2024-09-30 14:39:31.171714+00","2024-09-30 14:39:31.171714+00",NULL
"","GUARANA (PAULLINIA","313","2024-09-30 14:39:31.175107+00","2024-09-30 14:39:31.175107+00",NULL
"","GUAREA","314","2024-09-30 14:39:31.178665+00","2024-09-30 14:39:31.178665+00",NULL
"","GYMNOCLADUS","315","2024-09-30 14:39:31.18219+00","2024-09-30 14:39:31.18219+00",NULL
"","HAEMATOXYLON CAMPECHIANUM (HAEMATOXYLON)","316","2024-09-30 14:39:31.380708+00","2024-09-30 14:39:31.380708+00",NULL
"","HAMAMELIS VIRGINIANA","317","2024-09-30 14:39:31.384721+00","2024-09-30 14:39:31.384721+00",NULL
"","HECLA LAVA (HEKLA","318","2024-09-30 14:39:31.388721+00","2024-09-30 14:39:31.388721+00",NULL
